split,accuracy,macro_f1
validation_baseline,0.7566312475403385,0.28715237327120113
validation_logistic_regression,0.7234946871310508,0.6499382508980963
test_logistic_regression,0.7134926080718608,0.6412763136339051
validation_random_forest,0.9996064541519087,0.9993197014854994
test_random_forest,0.9995009668766764,0.9991727163889061
